,Unnamed: 0,consoles,games;
271,271,Series,Yo-kai Watch;
272,272,All,NBA 2K20;
273,273,All,Star Wars Battlefront (2015);
274,274,Series,Mafia;
275,275,All,Portal;
276,276,PS4,Red Dead Redemption 2;
277,277,X360,Call of Duty: Black Ops II;
278,278,PS3,Call of Duty: Black Ops II;
279,279,Series,Fire Emblem;
280,280,X360,Call of Duty: Modern Warfare 2;
281,281,Series,Guild Wars;
282,282,All,Resident Evil 5;
283,283,3DS,New Super Mario Bros. 2;
284,284,PS4,Call of Duty: WWII;
285,285,Series,Dragon Ball Xenoverse;
286,286,PS3,Call of Duty: Modern Warfare 3;
287,287,Series,Paper Mario;
288,288,Wii,Super Smash Bros. Brawl;
289,289,NS,Splatoon 2;
290,290,Series,Rock Band;
291,291,PS2,Grand Theft Auto III;
292,292,PC,Portal 2;
293,293,3DS,Animal Crossing: New Leaf;
294,294,X360,Minecraft;
295,295,PC,Stardew Valley;
296,296,Series,ARMA;
297,297,Series,Scribblenauts;
298,298,3DS,Super Mario 3D Land;
299,299,Wii,Super Mario Galaxy;
300,300,DS,Pokémon Heart Gold / Soul Silver Version;
301,301,PS3,Call of Duty: Black Ops;
302,302,PC,Grand Theft Auto V;
303,303,Series,Fable;
304,304,Series,Myst;
305,305,All,Batman: Arkham City;
306,306,All,Rust;
307,307,NS,Luigi's Mansion 3;
308,308,PS4,The Witcher 3: Wild Hunt;
309,309,All,Resident Evil 4;
310,310,Series,Mario Golf;
311,311,Series,Mario & Luigi;
312,312,Series,Metro;
313,313,Series,Wario;
314,314,GBA,Pokémon FireRed / LeafGreen Version;
315,315,PC,World of Warcraft;
316,316,PC,Half-Life 2;
317,317,PC,Diablo III;
318,318,Series,Left 4 Dead;
319,319,Series,Cooking Mama;
320,320,Series,Jak and Daxter;
321,321,Series,SOCOM;
322,322,All,Assassin's Creed III;
323,323,All,NBA 2K19;
324,324,All,Cities: Skylines;
325,325,Series,Bomberman;
326,326,All,Assetto Corsa;
327,327,All,7 Days to Die;
328,328,All,Monster Hunter Rise;
329,329,All,Hogwarts Legacy;
330,330,PS3,Gran Turismo 5;
331,331,N64,Super Mario 64;
332,332,PS4,FIFA 18;
333,333,PS4,The Last of Us Remastered;
334,334,PS2,Gran Turismo 4;
335,335,DS,Animal Crossing: Wild World;
336,336,All,Resident Evil 7;
337,337,Series,The Room;
338,338,Series,Max Payne;
339,339,Series,Taiko no Tatsujin;
340,340,All,Resident Evil 2 (2019);
341,341,Series,Dragon Age;
342,342,GB,Super Mario Land 2: 6 Golden Coins;
343,343,Series,Wii Party;
344,344,X360,Grand Theft Auto IV;
345,345,Series,Big Brain Academy;
346,346,DS,Super Mario 64 DS;
347,347,DS,Super Mario 64 DS;
348,348,PC,StarCraft;
349,349,Series,Dance Dance Revolution;
350,350,PC,Fall Guys: Ultimate Knockout;
351,351,All,Need for Speed: Underground 2;
352,352,All,Tomb Raider (2013);
353,353,All,Mortal Kombat X;
354,354,All,Civilization VI;
355,355,All,BioShock Infinite;
356,356,All,NBA 2K21;
357,357,Series,Sniper: Ghost Warrior;
358,358,All,Lego Batman: The Videogame;
359,359,All,God of War: Ragnarök;
360,360,PS4,FIFA 17;
361,361,All,Resident Evil 6;
362,362,All,Need for Speed: ProStreet;
363,363,PS,Gran Turismo;
364,364,NS,Super Mario 3D World + Bowser's Fury;
365,365,PS3,Call of Duty: Modern Warfare 2;
366,366,PS3,Grand Theft Auto IV;
367,367,SNES,Super Mario All-Stars;
368,368,Series,Rocket League;
369,369,All,Rocket League;
370,370,Series,Tomodachi;
371,371,X360,Call of Duty: Ghosts;
372,372,Series,Star Fox;
373,373,Series,Nobunaga's Ambition;
374,374,PS3,Call of Duty: Ghosts;
375,375,NS,Splatoon 3;
376,376,Series,SaGa;
377,377,PC,RollerCoaster Tycoon 3;
378,378,Wii,Just Dance 2;
379,379,Wii,Just Dance 3;
380,380,PS4,Horizon: Zero Dawn;
381,381,PS4,The Last of Us Part II;
382,382,Series,Marvel vs. Capcom;
383,383,Series,Killing Floor;
384,384,Series,The Settlers;
385,385,Series,Pitfall;
386,386,Series,Buzz!;
387,387,Series,MX vs. ATV;
388,388,All,Tekken 7;
389,389,All,Monster Hunter World: Iceborne;
390,390,All,FIFA 10;
391,391,All,FIFA 12;
392,392,All,The Sims 3;
393,393,All,Final Fantasy XV;
394,394,All,Assassin's Creed Unity;
395,395,All,Assassin's Creed Origins;
396,396,All,Assassin's Creed Odyssey;
397,397,All,NBA 2K18;
398,398,All,Far Cry 3;
399,399,All,Far Cry 4;
400,400,All,Far Cry 5;
401,401,All,Crash Bandicoot N. Sane Trilogy;
402,402,All,Tom Clancy's Rainbow Six Siege;
403,403,All,Tom Clancy's Ghost Recon Wildlands;
404,404,All,Dark Souls III;
405,405,All,Tom Clancy's The Division;
406,406,All,Tom Clancy's The Division 2;
407,407,All,Watch Dogs;
408,408,All,Watch Dogs 2;
409,409,All,Star Wars Jedi: Fallen Order;
410,410,PC,Valheim;
411,411,All,Titanfall;
412,412,Series,Broken Sword;
413,413,All,It Takes Two;
414,414,All,NBA 2K22;
415,415,X360,Halo: Reach;
416,416,PC,Portal;
417,417,X360,Halo 4;
418,418,Series,The Binding of Isaac;
419,419,PS,Final Fantasy VII;
420,420,N64,Mario Kart 64;
421,421,Series,Ace Attorney;
422,422,All,Ghost of Tsushima;
423,423,Series,NieR;
424,424,Series,Dead or Alive;
425,425,3DS,Super Smash Bros. for 3DS;
426,426,All,Street Fighter IV;
427,427,All,Final Fantasy VIII;
428,428,Series,Carnival Games;
429,429,X360,Call of Duty 4: Modern Warfare;
430,430,NS,Mario Party Superstars;
431,431,PS,Gran Turismo 2;
432,432,Wii,Wii Party;
433,433,PS4,Call of Duty: Black Ops IIII;
434,434,DS,Mario Party DS;
435,435,SNES,Donkey Kong Country;
436,436,PC,Half-Life;
437,437,PS3,Uncharted 3: Drake's Deception;
438,438,PS4,FIFA 19;
439,439,3DS,Pokémon: Ultra Sun and Ultra Moon;
440,440,NS,Super Mario 3D All-Stars;
441,441,PC,Rust;
442,442,Series,The Experience;
443,443,Series,Payday;
444,444,Series,Silent Hill;
445,445,All,Assassin's Creed II;
446,446,All,Battlefield: Bad Company 2;
447,447,All,Star Wars Battlefront II (2017);
448,448,All,Harry Potter and the Chamber of Secrets;
449,449,Series,Ninja Gaiden;
450,450,All,Need for Speed: Undercover;
451,451,X360,The Elder Scrolls V: Skyrim;
452,452,Series,Xeno;
453,453,Wii,Mario Party 8;
454,454,Series,Megami Tensei;
455,455,All,Monster Hunter Generations;
456,456,SNES,Super Mario Kart;
457,457,XOne,Grand Theft Auto V;
458,458,All,Naruto Shippuden: Ultimate Ninja Storm 4;
459,459,All,The Legend of Zelda: Twilight Princess;
460,460,NS,Nintendo Switch Sports;
461,461,PS,Final Fantasy VIII;
462,462,PS2,Final Fantasy X;
463,463,Series,Monument Valley;
464,464,DS,Pokémon Black 2 and White 2;
