Name,Publisher,Total_shipped,Total_sales,Date
Gyakuten Saiban 3,Capcom,N/A,0.16m,23rd Jan 04
Taz Wanted,Atari,N/A,0.16m,17th Sep 02
Pac-Man Championship Edition 2 + Arcade Game Series,Namco Bandai Games,N/A,0.16m,01st Nov 16
Hannah Montana: Rock Out the Show,Disney Interactive Studios,N/A,0.16m,04th Aug 09
Ride 2,Milestone S.r.l,N/A,0.16m,14th Feb 17
Vehicular Combat League presents Motor Mayhem,Atari,N/A,0.16m,20th Jun 01
PoPoLoCrois: Hajimari no Bouken,Sony Computer Entertainment,N/A,0.16m,20th Jun 02
High On Racing,Unknown,0.16m,N/A,N/A
Star Wars: Super Bombad Racing,LucasArts,N/A,0.16m,23rd Apr 01
Castlevania Judgment,Konami,N/A,0.16m,18th Nov 08
Final Fantasy Type-0 HD,Unknown,0.16m,N/A,N/A
NBA Live 08,Electronic Arts,N/A,0.16m,02nd Oct 07
Hamster Heroes,Unknown,N/A,0.16m,31st Dec 20
Hot Wheels Velocity X,THQ,N/A,0.16m,31st Oct 02
Akiba's Trip: Undead & Undressed,Xseed Games,N/A,0.16m,12th Aug 14
World Tour Soccer 2005,Sony Computer Entertainment,N/A,0.16m,14th Apr 04
The Butterfly Sign: Human Error,Unknown,0.16m,N/A,N/A
Splatterhouse,Namco Bandai,N/A,0.16m,23rd Nov 10
Star Ocean: Till the End of Time Director's Cut,Square Enix,0.16m,N/A,22nd Jan 04
Leisure Suit Larry: Box Office Bust,Codemasters,N/A,0.16m,31st Mar 09
Create,Electronic Arts,N/A,0.16m,16th Nov 10
Trivial Pursuit: Bet You Know It,Electronic Arts,N/A,0.16m,01st Nov 11
Ashes of the Singularity: Escalation,Unknown,0.16m,N/A,N/A
Dead Rising 4: Frank's Big Package,Capcom,N/A,0.16m,05th Dec 17
Clash of the Titans: The Videogame    Read the review,Namco Bandai,N/A,0.16m,27th Jul 10
Valdis Story: Abyssal City,Endless Fluff Games,0.16m,N/A,08th Sep 13
Act of Aggression,Focus Home Interactive,0.16m,N/A,02nd Sep 15
Dungeon Siege: Throne of Agony,2K Games,N/A,0.16m,30th Oct 06
ESPN College Hoops,Sega,N/A,0.16m,13th Nov 03
Theatrhythm Dragon Quest,Square Enix,N/A,0.16m,26th Mar 15
Family Game Night 4: The Game Show,Electronic Arts,N/A,0.16m,01st Nov 11
F1 Championship Season 2000,Electronic Arts,N/A,0.16m,19th Dec 00
Putty Squad,System 3,N/A,0.16m,29th Nov 13
Bakugan Battle Brawlers: Defenders of the Core,Activision,N/A,0.16m,02nd Nov 10
Pen 1 Grand Prix: Penguin no Mondai Special,Konami,N/A,0.16m,17th Dec 09
Robotech: Battlecry,TDK Mediactive,N/A,0.16m,11th Oct 02
Hexcells,Unknown,0.16m,N/A,N/A
Anna - Extended Edition,Unknown,0.16m,N/A,N/A
Zapper: One Wicked Cricket!,Infogrames,N/A,0.16m,03rd Nov 02
PARTICLE MACE,Unknown,0.16m,N/A,N/A
Bomberman Land,Hudson Soft,N/A,0.16m,21st Dec 00
Paws & Claws: Pet Resort,THQ,N/A,0.16m,13th Feb 06
King's Bounty: Warriors of the North,Unknown,0.16m,N/A,N/A
Kya: Dark Lineage,Atari,N/A,0.16m,18th Nov 03
Aquaria,Bit Blot,0.16m,N/A,07th Dec 07
NPPL Championship Paintball 2009,Activision,N/A,0.16m,18th Nov 08
Curious George,Namco,N/A,0.16m,01st Feb 06
12 Labours of Hercules,Jetdogs Studios,0.16m,N/A,23rd Mar 15
Lethal Skies II,Sammy Corporation,N/A,0.16m,09th Sep 03
Guilty Gear Judgment,Majesco,N/A,0.16m,05th Sep 06
Puzzle Quest: Galactrix,D3 Publisher,N/A,0.16m,24th Feb 09
NCAA Football 09 All-Play    Read the review,EA Sports,N/A,0.16m,15th Jul 08
Lara Croft and the Temple of Osiris,Square Enix,0.16m,N/A,09th Dec 14
Fracture,LucasArts,N/A,0.16m,07th Oct 08
Tom and Jerry: Infurnal Escape,NewKidCo,N/A,0.16m,14th Mar 03
Vampyr    Read the review,Focus Home Interactive,0.16m,N/A,05th Jun 18
Eiyuu Densetsu: Zero no Kiseki,Falcom Corporation,N/A,0.16m,30th Sep 10
Disney's American Dragon Jake Long: Attack of the Dark Dragon,Buena Vista,N/A,0.16m,12th Oct 06
King's Field,ASCII Entertainment,N/A,0.16m,31st Dec 95
West of Loathing,Unknown,0.16m,N/A,N/A
Okami HD,Capcom,0.16m,N/A,12th Dec 17
Let's Ride: Sunshine Stables,THQ,N/A,0.16m,04th Oct 05
Monster Jam,Activision,N/A,0.16m,19th Nov 07
World Stadium 4,Namco,N/A,0.16m,23rd Mar 00
Midway Arcade Treasures 2,Midway Games,N/A,0.16m,11th Oct 04
Frankenstein: Master of Death,Unknown,0.16m,N/A,N/A
El Shaddai: Ascension of the Metatron,Ignition Entertainment,N/A,0.16m,16th Aug 11
Angry Birds: Star Wars,Activision,N/A,0.16m,22nd Nov 13
Hot Wheels World Race,THQ,N/A,0.16m,31st Oct 03
Mad Dagger,Unknown,0.16m,N/A,N/A
Apache: Air Assault,Activision,N/A,0.16m,16th Nov 10
San Goku Shi Taisen DS,Sega,N/A,0.16m,25th Jan 07
Kawa no Nushi Tsuri,Victor Interactive,N/A,0.16m,20th Aug 98
Digimon Story: Cyber Sleuth - Hacker's Memory,Namco Bandai Games,N/A,0.16m,19th Jan 18
Marble Saga: Kororinpa    Read the review,Konami,N/A,0.16m,17th Mar 09
Magic: The Gathering - Battlegrounds,Atari,N/A,0.16m,18th Nov 03
N2O: Nitrous Oxide,Fox Interactive,N/A,0.16m,30th Jun 98
Spider-Man: Web of Shadows - Amazing Allies Edition,Activision,N/A,0.16m,21st Oct 08
Dancing with the Stars,Activision,N/A,0.16m,23rd Oct 07
Goosebumps HorrorLand,Scholastic Inc.,N/A,0.16m,28th Oct 08
The 39 Steps,Unknown,0.16m,N/A,N/A
Rio,THQ,N/A,0.16m,12th Apr 11
Otogirisou,ChunSoft,N/A,0.16m,07th Mar 92
Battlezone,Sony Interactive Entertainment,N/A,0.16m,13th Oct 16
SD Gundam G Generation 3D,Namco Bandai,N/A,0.16m,22nd Dec 11
Crash Tag Team Racing,VU Games,N/A,0.16m,19th Oct 05
Zoo Hospital,Majesco,N/A,0.16m,22nd Sep 08
Train Valley,Unknown,0.16m,N/A,N/A
Massive Chalice,Double Fine Productions,0.16m,N/A,11th Nov 14
The Whispered World,Viva Media,0.16m,N/A,26th Apr 10
True Swing Golf,Nintendo,N/A,0.16m,23rd Jan 06
Little Nightmares,Namco Bandai Games,N/A,0.16m,28th Apr 17
The Surge,Focus Home Interactive,0.16m,N/A,16th May 17
Beowulf: The Game,Ubisoft,N/A,0.16m,13th Nov 07
Family Feud Decades,Ubisoft,N/A,0.16m,09th Nov 10
Hell Girls,Unknown,0.16m,N/A,N/A
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode One,Hothead Games,0.16m,N/A,21st May 08
Thrillville: Off the Rails,LucasArts,N/A,0.16m,09th Oct 07
Michael Jackson: The Experience,Ubisoft,N/A,0.16m,23rd Nov 10
TimeSplitters: Future Perfect,Electronic Arts,N/A,0.16m,21st Mar 05
Midway Arcade Treasures 3,Midway Games,N/A,0.16m,27th Sep 05
Dr. Muto,Midway Games,N/A,0.16m,19th Nov 02
Naruto Shippuden: Ultimate Ninja Storm Legacy,Namco Bandai Games,N/A,0.16m,25th Aug 17
Warriors Orochi 3,Tecmo Koei,N/A,0.16m,27th Mar 12
Tumblestone,Unknown,0.16m,N/A,N/A
DS Rakubiki Jiten,Nintendo,N/A,0.16m,16th Jun 05
Fatal Frame II: Crimson Butterfly,Tecmo,N/A,0.16m,10th Dec 03
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Activision,N/A,0.16m,01st Nov 05
Berserk and the Band of the Hawk,Tecmo Koei,N/A,0.16m,21st Feb 17
Dewy's Adventure,Konami,N/A,0.16m,25th Sep 07
Bulletstorm,Electronic Arts,N/A,0.16m,22nd Feb 11
Just Cause 3,Square Enix,N/A,0.16m,01st Dec 15
Shadow Man: 2econd Coming,Acclaim Entertainment,N/A,0.16m,02nd Mar 02
Yu-Gi-Oh! 5D's Tag Force 6,Konami,N/A,0.16m,22nd Sep 11
Dynasty Warriors 4,KOEI,N/A,0.16m,05th Sep 03
Cowboy zombie,Unknown,0.16m,N/A,N/A
Infinifactory,Unknown,0.16m,N/A,N/A
TimeShift,Sierra Entertainment,N/A,0.16m,19th Nov 07
Witch It,Unknown,0.16m,N/A,N/A
Wakeboarding Unleashed Featuring Shaun Murray,Activision,N/A,0.16m,10th Jun 03
Rudolph the Red-Nosed Reindeer,Crave Entertainment,N/A,0.16m,26th Oct 10
The Incredibles: Rise of the Underminer,THQ,N/A,0.16m,01st Nov 05
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,Konami,N/A,0.16m,20th Mar 97
Alone in the Dark: The New Nightmare,Infogrames,N/A,0.16m,18th Jun 01
Just Dance: Disney Party,Ubisoft,N/A,0.16m,23rd Oct 12
The BIGS,2K Sports,N/A,0.16m,25th Jun 07
The King of Fighters XII,Ignition Entertainment,N/A,0.16m,28th Jul 09
Flushed Away,D3 Publisher,N/A,0.16m,24th Oct 06
Adventure Time: Explore the Dungeon Because I Don't Know!,D3Publisher,N/A,0.16m,19th Nov 13
Summon Night EX-Thesis: Yoake no Tsubasa,Banpresto,N/A,0.16m,04th Aug 05
Pro Yakyuu Spirits 3,Konami,N/A,0.16m,06th Apr 06
Sid Meier's Pirates!,2K Games,N/A,0.16m,05th Oct 10
Our House,Majesco,N/A,0.16m,22nd Sep 09
Bunch of Heroes,Unknown,0.16m,N/A,21st Sep 11
Silent Scope 3,Konami,N/A,0.16m,15th Oct 02
NASCAR Heat 2002,Infogrames,N/A,0.16m,06th May 02
Namco Classic Fighter Collection,Namco Bandai,N/A,0.16m,19th Sep 08
Grease Dance,505 Games,N/A,0.16m,18th Oct 11
Tak: Mojo Mistake,THQ,N/A,0.16m,13th Oct 08
International Superstar Soccer Deluxe,Konami,N/A,0.16m,01st Nov 95
Eragon,Sierra Entertainment,N/A,0.16m,14th Nov 06
BlazBlue: Chrono Phantasma Extend,Aksys Games,N/A,0.16m,30th Jun 15
Bakugan Battle Brawlers: Defenders of the Core,Activision,N/A,0.16m,02nd Nov 10
Intellivision Lives!,Crave Entertainment,N/A,0.16m,20th Nov 03
Only One Hope,Unknown,0.16m,N/A,N/A
World Series of Poker: Tournament of Champions 2007 Edition,Activision,N/A,0.16m,21st Sep 06
Robots,VU Games,N/A,0.16m,24th Feb 05
Klonoa    Read the review,Namco Bandai,N/A,0.16m,05th May 09
Watchmen: The End is Nigh - The Complete Experience,Warner Bros. Interactive,N/A,0.16m,21st Jul 09
Heroes Over Europe,Ubisoft,N/A,0.16m,15th Sep 09
Ready 2 Rumble Revolution,Atari,N/A,0.16m,17th Mar 09
SimEarth: The Living Planet,FCI,N/A,0.16m,01st Feb 93
Sacred Citadel,Unknown,0.16m,N/A,N/A
Culdcept SAGA,Namco Bandai,N/A,0.16m,05th Feb 08
Sengoku Basara: Chronicle Heroes,Capcom,N/A,0.16m,21st Jul 11
The Wild Thornberrys: Chimp Chase,THQ,N/A,0.16m,05th Oct 01
Rayman Legends    Read the review,Ubisoft,N/A,0.16m,03rd Sep 13
Innocent Life: A Futuristic Harvest Moon,Natsume,N/A,0.16m,15th May 07
Power Stakes,Aques,N/A,0.16m,11th Apr 97
Steins;Gate,Nitro+,0.16m,N/A,09th Sep 16
3D Dot Game Heroes    Read the review,Atlus,0.16m,N/A,11th May 10
Asteroids Hyper 64,Crave Entertainment,N/A,0.16m,14th Dec 99
BMX XXX,Acclaim Entertainment,0.16m,N/A,15th Nov 02
Buck Bumble,Ubisoft,N/A,0.16m,30th Sep 98
California Speed,Midway Games,N/A,0.16m,28th Feb 99
Destruction Derby 64,THQ,N/A,0.16m,30th Sep 99
Dynasty Warriors 7: Xtreme Legends,KOEI,0.16m,N/A,15th Nov 11
Fighters Destiny,Ocean,N/A,0.16m,31st Jan 98
Final Fantasy Fables: Chocobo's Dungeon,Square Enix,0.16m,N/A,08th Jul 08
Final Fantasy II Anniversary Edition,Square Enix,0.16m,N/A,24th Jul 07
Hydro Thunder,Midway Games,N/A,0.16m,29th Feb 00
Jikkyou Powerful Pro Yakyuu Basic-han 2001,Konami,N/A,0.16m,29th Mar 01
Space Invaders,Activision,N/A,0.16m,30th Nov 99
Starcraft 64,Nintendo,N/A,0.16m,13th Jun 00
Summon Night 5,Gaijinworks,0.16m,N/A,15th Dec 15
Tales of Innocence,Namco Bandai,0.16m,N/A,06th Dec 07
The Powerpuff Girls: Chemical X-Traction,BAM! Entertainment,N/A,0.16m,14th Oct 01
Tom and Jerry in Fists of Furry,NewKidCo,N/A,0.16m,12th Nov 00
Wonder Project J2: Koruro no Mori no Josette,Enix,N/A,0.16m,22nd Nov 96
WRC 2: FIA World Rally Championship,Ubisoft,N/A,0.16m,14th Oct 11
Legends of Chima: Laval's Journey,Warner Bros. Interactive Entertainment,N/A,0.16m,25th Jun 13
Finding Nemo: Escape to the Big Blue,THQ,N/A,0.16m,09th Feb 06
Around The World in 80 Days,PlayV,N/A,0.16m,05th Mar 10
Minna no DS Seminar: Kanpeki Kanji Ryoku,TDK Core,N/A,0.16m,20th Jul 06
Macross Ace Frontier,Namco Bandai,N/A,0.16m,09th Oct 08
Final Fantasy III,Square Enix,0.16m,N/A,27th May 14
Solitaire Overload Plus,Telegames,N/A,0.16m,05th Oct 10
Black & Bruised,Majesco,N/A,0.16m,26th Jan 03
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,Namco Bandai,N/A,0.16m,24th Jun 08
Take A Break's: Puzzle Master,Ubisoft,N/A,0.16m,13th Nov 09
Spyro: Shadow Legacy,Vivendi Games,N/A,0.16m,18th Oct 05
Blitz: The League,Midway Games,N/A,0.16m,13th Nov 06
.hack//G.U. Vol.2//Reminisce (jp sales),Namco Bandai,N/A,0.16m,08th May 07
Rapala Pro Fishing,Activision,N/A,0.16m,31st Aug 04
Pro Baseball Spirits 2015,Konami Digital Entertainment,N/A,0.16m,26th Mar 15
Ghost in the Shell: Stand Alone Complex,Bandai,N/A,0.16m,08th Nov 04
Pillars of Eternity,Paradox Interactive,N/A,0.16m,29th Aug 17
Ener-G: Dance Squad,Ubisoft,N/A,0.16m,21st Oct 08
TNA iMPACT!    Read the review,Midway Games,N/A,0.16m,16th Sep 08
Apartment 666,Unknown,0.16m,N/A,N/A
Battle Soccer: Field no Hasha,Banpresto,N/A,0.16m,11th Dec 92
Rudolph the Red-Nosed Reindeer,Crave Entertainment,N/A,0.16m,26th Oct 10
Scarface: Money. Power. Respect.,Sierra Entertainment,N/A,0.16m,08th Oct 06
Sid Meier's Ace Patrol,2K Games,0.16m,N/A,27th Aug 13
Enchanter,Infocom,0.16m,N/A,10th Aug 83
FlatOut 2,Vivendi Games,N/A,0.16m,01st Aug 06
Custom Robo Arena,Nintendo,N/A,0.16m,19th Mar 07
SUPERHOT VR,SUPERHOT Team,0.16m,N/A,25th May 17
FIFA Soccer 96,EA Sports,N/A,0.16m,01st Nov 95
Pro Yakyuu Famista Returns,Namco Bandai Games,N/A,0.16m,08th Oct 15
NCAA Final Four 2001,Sony Computer Entertainment,N/A,0.16m,13th Nov 00
The Bard's Tale: Remastered and Resnarkled,Unknown,0.16m,N/A,N/A
Deadly Premonition: The Director's Cut,Rising Star Games,N/A,0.16m,30th Apr 13
3rd Super Robot Wars Z: Tengoku-Hen,Namco Bandai Games,N/A,0.16m,02nd Apr 15
J-League Jikkyou Winning Eleven 2000,Konami,N/A,0.16m,29th Jun 00
Vegas Party,Storm City Games,N/A,0.16m,27th Oct 09
Eve: The Lost One,Imagineer,N/A,0.16m,12th Mar 98
Shaun White Skateboarding,Ubisoft,N/A,0.16m,24th Oct 10
Disgaea 4: A Promise Unforgotten,NIS America,N/A,0.16m,31st Dec 20
Konami Krazy Racers,Konami,N/A,0.16m,10th Jun 01
Saturday Night Slam Masters,Capcom,N/A,0.16m,01st Jun 94
The Walking Dead: Season One,Telltale Games,N/A,0.16m,14th Oct 14
Valkyria Revolution,Sega,N/A,0.16m,27th Jun 17
F-Zero: GP Legend,Nintendo,N/A,0.16m,20th Sep 04
Racing Lagoon - High Speed Driving RPG,Square,N/A,0.16m,10th Jun 99
Field Commander,Sony Online Entertainment,N/A,0.16m,23rd May 06
Mr. Driller 2,Namco,N/A,0.16m,10th Apr 05
WildStar,Carbine Studios,N/A,0.16m,03rd Jun 14
NBA 2K12,2K Sports,N/A,0.16m,04th Oct 11
Burger Island,Destineer,N/A,0.16m,17th Dec 08
Imagine: Ice Champions,Ubisoft,N/A,0.16m,25th Feb 09
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,Sega,N/A,0.16m,12th Nov 09
Ener-G Horse Riders,Ubisoft,N/A,0.16m,21st Oct 08
"BCFX: The Black College Football Xperience, The Doug Williams Edition",Aspyr,N/A,0.16m,29th Sep 09
Bendy and the Ink Machine,Rooster Teeth Games,N/A,0.16m,20th Nov 18
Dragon Ball: Origins 2,Namco Bandai,N/A,0.16m,22nd Jun 10
Left Brain Right Brain: Use Both Hands Train Both Sides,Majesco,N/A,0.16m,04th Dec 07
Pixel Puzzles 2: Anime,DL Softworks,0.16m,N/A,27th Mar 15
Family Party: 30 Great Games Outdoor Fun,D3 Publisher,N/A,0.16m,29th Sep 09
DreadOut,Unknown,0.16m,N/A,N/A
Yu-Gi-Oh! 5D's: Duel Transer,Konami,N/A,0.16m,07th Dec 10
Dynasty Warriors 8: Xtreme Legends,Tecmo Koei,N/A,0.16m,25th Mar 14
Mother Russia Bleeds,Bandai Visual,0.16m,N/A,01st Jan 16
Power Rangers Double Pack,THQ,N/A,0.16m,22nd Mar 05
Alien Breed 2: Assault,Team17 Software,0.16m,N/A,22nd Sep 10
Shinobido 2: Revenge of Zen,Namco Bandai,N/A,0.16m,21st Feb 12
Mugen Souls    Read the review,NIS America,N/A,0.16m,30th Sep 12
James Noir's Hollywood Crimes,Ubisoft,N/A,0.16m,01st Nov 11
Naruto Powerful Shippuden,Namco Bandai Games,N/A,0.16m,05th Mar 13
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,Syscom,N/A,0.16m,06th Aug 98
FIFA Soccer 97,EA Sports,N/A,0.16m,30th Nov 96
Just Sing!,Conspiracy Entertainment,N/A,0.16m,22nd Jun 10
Transformer: Rise of the Dark Spark,Activision,N/A,0.16m,24th Jun 14
Darksiders II,THQ,N/A,0.16m,18th Nov 12
Overcooked! 2,Sold Out,N/A,0.16m,07th Aug 18
Psychic Force,Acclaim Entertainment,N/A,0.16m,03rd Oct 96
Castlevania: Lords of Shadow - Mirror of Fate    Read the review,Konami Digital Entertainment,N/A,0.16m,05th Mar 13
The Adventures of Tintin: The Game,Ubisoft,N/A,0.16m,06th Dec 11
Trigger Man,Crave Entertainment,N/A,0.16m,05th Oct 04
Night Forest,Unknown,0.16m,N/A,N/A
StarBlade α,Sony Computer Entertainment,N/A,0.16m,01st Feb 96
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,Namco Bandai,N/A,0.16m,07th Feb 08
Time Hollow    Read the review,Konami,N/A,0.16m,23rd Sep 08
"I, Zombie",Unknown,0.16m,N/A,N/A
Medieval Games,Vir2L Studios,N/A,0.16m,20th Oct 09
Tiger Woods PGA Tour 2004,EA Sports,N/A,0.16m,22nd Sep 03
LEGO The Hobbit,Warner Bros. Interactive Entertainment,N/A,0.16m,08th Apr 14
Yooka-Laylee    Read the review,Team17 Software,0.16m,N/A,01st Jan 18
Gundam Breaker 2,Namco Bandai Games,N/A,0.16m,18th Dec 14
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Unknown,0.16m,N/A,N/A
Metal Slug,Unknown,0.16m,N/A,N/A
Amped 3,2K Sports,N/A,0.16m,16th Nov 05
Bomberman Land Touch! 2,Hudson Entertainment,N/A,0.16m,29th Jan 08
MotionSports: Adrenaline,Ubisoft,N/A,0.16m,01st Nov 11
MX 2002 Featuring Ricky Carmichael,THQ,N/A,0.16m,15th Sep 01
Halo Triple Pack,Microsoft Game Studios,N/A,0.16m,06th Oct 05
Lost In Woods 2,Unknown,0.16m,N/A,N/A
Chaotic: Shadow Warriors,Activision,N/A,0.16m,17th Nov 09
My Baby 3 & Friends,Majesco,N/A,0.16m,12th Oct 10
Sherlock Holmes vs. Jack the Ripper,DreamCatcher Interactive,N/A,0.16m,20th Apr 10
Street Racer,Ubisoft,N/A,0.16m,31st Oct 96
Jurassic Park: The Game,Telltale Games,N/A,0.16m,15th Nov 11
Wings of Prey,YuPlay,0.16m,N/A,25th Dec 10
NBA 2K3,Sega,N/A,0.16m,07th Oct 02
Tak and the Guardians of Gross,THQ,N/A,0.16m,13th Oct 08
Monster House,THQ,N/A,0.16m,18th Jul 06
Arcana Heart,Atlus,N/A,0.16m,10th Apr 08
NHL 2005,EA Sports,N/A,0.16m,20th Sep 04
We Dance,Nordic Games,N/A,0.16m,02nd Sep 11
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,Konami,N/A,0.16m,20th May 10
Xenoblade Chronicles 2: Torna ~ The Golden Country,Nintendo,N/A,0.16m,21st Sep 18
Battlestar Galactica,VU Games,N/A,0.16m,19th Nov 03
Melody's Escape,Unknown,0.16m,N/A,26th Feb 14
.hack//G.U. Vol.1//Rebirth,Namco Bandai,0.16m,N/A,24th Oct 06
The Amazing Spider-Man (2012),Activision,N/A,0.16m,26th Jun 12
Kingdom Hearts: Birth by Sleep - Final Mix,Square Enix,N/A,0.16m,20th Jan 11
Skylanders Giants    Read the review,Activision,N/A,0.16m,21st Oct 12
Godzilla Unleashed,Atari,N/A,0.16m,05th Dec 07
Toriko: Gourmet Monsters!,Namco Bandai Games,N/A,0.16m,13th Dec 12
Imagine: Music Fest,Ubisoft,N/A,0.16m,12th May 09
The Incredible Hulk: The Pantheon Saga,Eidos Interactive,N/A,0.16m,28th Feb 97
Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,N/A,0.16m,01st Sep 15
The Idolm@ster 2,Bandai,N/A,0.16m,27th Oct 11
Bleach: Dark Souls,Sega,N/A,0.16m,07th Oct 08
Gravity Rush Remastered,Sony Computer Entertainment,N/A,0.16m,02nd Feb 16
AC/DC LIVE: Rock Band Track Pack,MTV Games,N/A,0.16m,16th Nov 08
Senran Kagura: Shoujotachi no Shinei,Marvelous Interactive,N/A,0.16m,22nd Sep 11
He-Man: Power of Grayskull,TDK Mediactive,N/A,0.16m,29th Oct 02
Bridge Constructor Portal,Unknown,0.16m,N/A,N/A
Rondo of Swords (US sales),Atlus,N/A,0.16m,15th Apr 08
Polaris SnoCross,Vatical Entertainment,N/A,0.16m,29th Aug 00
Wing Commander III: Heart of the Tiger,Electronic Arts,N/A,0.16m,28th Mar 96
Mat Hoffman's Pro BMX 2,Activision,N/A,0.16m,13th Aug 02
Fist of the North Star: Ken's Rage,Tecmo Koei,N/A,0.16m,02nd Nov 10
Destiny 2,Activision,N/A,0.16m,23rd Oct 17
Batman: Arkham Origins Blackgate,Warner Bros. Interactive Entertainment,0.16m,N/A,01st Apr 14
Lufia: Curse of the Sinistrals,Natsume,N/A,0.16m,12th Oct 10
Muppet RaceMania,Midway Games,N/A,0.15m,03rd Oct 00
Namco Museum Vol.5,Namco,N/A,0.15m,01st Jan 97
Courier Crisis,GT Interactive,N/A,0.15m,30th Nov 97
The Polynomial - Space of the Music,Unknown,0.15m,N/A,28th May 09
Chessmaster: The Art of Learning,Ubisoft,N/A,0.15m,23rd Oct 07
Icewind Dale,Interplay,0.15m,N/A,29th Jun 00
Digimon Battle Spirit 2,Bandai,N/A,0.15m,24th Sep 03
Winning Post 3,KOEI,N/A,0.15m,26th Feb 98
Driven,BAM! Entertainment,N/A,0.15m,06th Nov 01
Space Camp,Activision,N/A,0.15m,26th May 09
Saw II: Flesh & Blood    Read the review,Konami,N/A,0.15m,19th Oct 10
Tap Heroes,Unknown,0.15m,N/A,N/A
Blitz: The League II,Midway Games,N/A,0.15m,13th Oct 08
Tears to Tiara II: Heir of the Overlord,NIS America,N/A,0.15m,14th Oct 14
"Warhammer 40,000: Fire Warrior",THQ,N/A,0.15m,17th Nov 03
Bust-A-Move Bash!,Majesco,N/A,0.15m,17th Apr 07
Holy Potatoes! A Weapon Shop?!,Daedalic Entertainment,0.15m,N/A,13th Jul 15
All-Pro Football 2K8,2K Sports,N/A,0.15m,16th Jul 07
Hot Wheels: Battle Force 5,Activision,N/A,0.15m,17th Nov 09
Dragon's Lair Trilogy,Destineer,N/A,0.15m,08th Oct 10
Dynasty Warriors 8: Empires,Tecmo Koei,N/A,0.15m,16th Jul 13
Stormrise,Sega,N/A,0.15m,24th Mar 09
Birds of Steel,Konami Digital Entertainment,N/A,0.15m,13th Mar 12
MTV Music Generator 2,Codemasters,N/A,0.15m,19th May 01
PixelJunk Eden,Unknown,0.15m,N/A,N/A
PaRappa The Rapper,Sony Computer Entertainment,N/A,0.15m,17th Jul 07
Super Sanctum TD,Unknown,0.15m,N/A,N/A
Ultimate Spider-Man,Activision,N/A,0.15m,19th Sep 05
Yeti Adventure,Unknown,0.15m,N/A,N/A
Burnout 2: Point of Impact,Acclaim Entertainment,N/A,0.15m,09th Apr 03
Assassin's Creed Rogue Remastered,Ubisoft,N/A,0.15m,20th Mar 18
Paris-Dakar Rally,Acclaim Entertainment,N/A,0.15m,09th Oct 01
The Banner Saga 2,Versus Evil,0.15m,N/A,19th Apr 16
Active Life Explorer,Namco Bandai,N/A,0.15m,19th Oct 10
Mitsurugi Kamui Hikae,Unknown,0.15m,N/A,N/A
Doctor Who: Evacuation Earth,Unknown,N/A,0.15m,12th Nov 10
Alchemyland,Unknown,0.15m,N/A,N/A
Karaoke Revolution Glee: Volume 3,Konami,N/A,0.15m,22nd Nov 11
Atelier Iris: Eternal Mana,NIS America,N/A,0.15m,28th Jun 05
Blinx 2: Masters of Time & Space,Microsoft Game Studios,N/A,0.15m,16th Nov 04
Rabi-Ribi,Unknown,0.15m,N/A,N/A
Family Party: Fitness Fun,D3 Publisher,N/A,0.15m,21st Sep 10
The Orb Chambers II,Unknown,0.15m,N/A,N/A
Wolfenstein: The Old Blood,Bethesda Softworks,N/A,0.15m,05th May 15
Dragon Ball Z: Harukanaru Densetsu (JP sales),Atari,N/A,0.15m,05th Jun 07
WordJong,Destineer,N/A,0.15m,16th Nov 07
Just Dance 2019,Ubisoft,N/A,0.15m,23rd Oct 18
28 Waves Later,Unknown,0.15m,N/A,N/A
Arcade Zone,Activision,N/A,0.15m,08th Sep 09
Tak: The Great Juju Challenge,THQ,N/A,0.15m,19th Sep 05
Scripps Spelling Bee,THQ,N/A,0.15m,28th Sep 10
Bomberman,Konami,N/A,0.15m,12th Sep 06
"Go, Diego, Go! Safari Rescue",2K Play,N/A,0.15m,05th Nov 07
Mr.President!,Unknown,0.15m,N/A,N/A
Major League Baseball 2K11,2K Sports,N/A,0.15m,08th Mar 11
Knockout Kings 2003,EA Sports,N/A,0.15m,09th Oct 02
NCAA Football 2004,EA Sports,N/A,0.15m,16th Jul 03
The Godfather: Blackhand Edition,Electronic Arts,N/A,0.15m,20th Mar 07
XGIII: Extreme G Racing,Acclaim Entertainment,N/A,0.15m,27th Nov 01
Z.H.P. Unlosing Ranger vs Darkdeath Evilman    Read the review,NIS America,N/A,0.15m,26th Oct 10
Earth Defense Force 2025,D3Publisher,N/A,0.15m,18th Feb 14
Crush3D    Read the review,Sega,N/A,0.15m,06th Mar 12
Masked Shooters 2,Unknown,0.15m,N/A,N/A
