Name,Platform,Publisher,Global Sales,Date de sortie
Call of Duty: Black Ops 3,Playstation,Activision,,2015.0
"Pokémon: Let's Go, Pikachu/Eevee    Read the review",,Nintendo,15.07,2018.0
Counter-Strike: Source,PC,VU Games,15.00,2004.0
Assassin's Creed IV: Black Flag,Autre,Ubisoft,15.00,2013.0
Backyard Sports,Series,Humongous Entertainment,15.00,1997.0
Barbie,Series,Hi Tech Expressions,15.00,1991.0
Battlefield 3,Series,Electronic Arts,15.00,2011.0
Burnout,Series,EA Sports,15.00,2001.0
Dead Rising,Series,Capcom,15.00,2006.0
Famista,Series,Namco,15.00,1986.0
Gex,Series,BMG Interactive Entertainment,15.00,1995.0
Just Cause,Series,Eidos Interactive,15.00,2006.0
Mario & Sonic at the Olympic Games,All,Sega,15.00,2007.0
Mortal Kombat 11,All,Warner Bros. Interactive Entertainment,15.00,2019.0
Need for Speed: Underground,All,Electronic Arts,15.00,2003.0
Red Dead Redemption,All,Rockstar Games,15.00,2010.0
Sonic the Hedgehog,All,Sega,15.00,1991.0
The Elder Scrolls Online,All,Bethesda Softworks,15.00,2014.0
Theme Park,All,Bullfrog Productions,15.00,1994.0
Pokémon Brilliant Diamond / Shining Pearl    Read the review,All,Nintendo,14.92,2021.0
Gran Turismo 3: A-Spec,NS,Sony Computer Entertainment,14.89,2001.0
Brain Age 2: More Training in Minutes a Day,Playstation,Nintendo,14.88,2007.0
Call of Duty: Modern Warfare 3,DS,Activision,,2011.0
New Super Mario Bros. U Deluxe,Xbox,Nintendo,14.75,2019.0
Call of Duty: Black Ops,NS,Activision,,2010.0
Pokémon Yellow: Special Pikachu Edition,Xbox,Nintendo,14.64,1999.0
Pokémon Legends: Arceus    Read the review,GB,Nintendo,14.63,2022.0
Pokémon Omega Ruby/Pokémon Alpha Sapphire,NS,Nintendo,14.53,2014.0
FIFA 13,DS,EA Sports,14.50,2012.0
Grand Theft Auto III,Xbox,Rockstar Games,14.50,2001.0
Halo 3    Read the review,All,Microsoft Game Studios,14.50,2007.0
Lego Batman,All,Warner Bros. Interactive Entertainment,14.40,2008.0
Everybody's Golf,Series,Sony Interactive Entertainment,14.19,1998.0
Final Fantasy VII,Series,Sony Computer Entertainment,14.10,1997.0
Street Fighter II,All,Capcom,14.05,1991.0
Dead Island,All,Deep Silver,14.00,2011.0
Mafia,Series,2K Games,14.00,2002.0
NBA 2K20,All,2K Sports,14.00,2019.0
Star Wars Battlefront (2015),All,Electronic Arts,14.00,2015.0
Yo-kai Watch,Series,Nintendo,14.00,2015.0
Portal,All,Valve,13.97,2007.0
Red Dead Redemption 2    Read the review,Playstation,Rockstar Games,,2018.0
Call of Duty: Black Ops II    Read the review,Xbox,Activision,,2012.0
Call of Duty: Black Ops II,Playstation,Activision,,2012.0
Fire Emblem,Series,Nintendo,13.78,2003.0
Call of Duty: Modern Warfare 2    Read the review,Xbox,Activision,,2009.0
Guild Wars,Series,NCSoft,13.50,2005.0
Resident Evil 5,All,Capcom,13.50,2009.0
New Super Mario Bros. 2    Read the review,DS,Nintendo,13.41,2012.0
Call of Duty: WWII    Read the review,Playstation,Activision,,2017.0
Dragon Ball Xenoverse,Series,Bandai Namco Games,13.35,2015.0
Call of Duty: Modern Warfare 3    Read the review,Playstation,Activision,,2011.0
Paper Mario,Series,Nintendo,13.33,2001.0
Super Smash Bros. Brawl    Read the review,Wii,Nintendo,13.32,2008.0
Splatoon 2,NS,Nintendo,13.30,2017.0
Rock Band,Series,MTV Games,13.20,2007.0
Grand Theft Auto III,Playstation,Rockstar Games,,2001.0
Portal 2,PC,Valve,13.06,2011.0
Animal Crossing: New Leaf    Read the review,DS,Nintendo,13.02,2013.0
ARMA,Xbox,505 Games,13.00,2007.0
Minecraft    Read the review,PC,Microsoft Studios,13.00,2013.0
Scribblenauts,Series,Warner Bros. Interactive Entertainment,13.00,2009.0
Stardew Valley,Series,Chucklefish,13.00,2016.0
Super Mario 3D Land    Read the review,DS,Nintendo,12.86,2011.0
Super Mario Galaxy    Read the review,Wii,Nintendo,12.80,2007.0
