Name,Platform,Test_MC,Players_MC
A PLAGUE TALE: REQUIEM,XBOX,85.0,8.6
A QUIET WEEKEND IN CAPRI,PC,63.0,7.3
A ROBOT NAMED FIGHT!,SWITCH,71.0,7.6
A ROSE IN THE TWILIGHT,PLAYSTATION,75.0,7.9
A SHORT HIKE,PC,82.0,8.6
A SHORT HIKE,SWITCH,88.0,8.5
A SPACE FOR THE UNBOUND,PC,86.0,7.7
A SPACE FOR THE UNBOUND,PLAYSTATION,83.0,7.9
A SPACE FOR THE UNBOUND,SWITCH,85.0,7.8
A SPACE SHOOTER FOR 2 BUCKS,PLAYSTATION,81.0,7.1
A STORY ABOUT MY UNCLE,PC,73.0,7.0
A TOTAL WAR SAGA: THRONES OF BRITANNIA,PC,75.0,5.4
A TOTAL WAR SAGA: TROY,PC,75.0,5.9
A VALLEY WITHOUT WIND,PC,54.0,6.6
A VIRUS NAMED TOM,PC,65.0,6.3
A WAY OUT,PC,78.0,7.8
A WAY OUT,PLAYSTATION,78.0,7.9
A WAY OUT,XBOX,79.0,7.8
A WITCH'S TALE,DS,50.0,7.0
A WORLD OF KEFLINGS,XBOX,77.0,6.9
A-TRAIN: ALL ABOARD! TOURISM,SWITCH,67.0,
A.R.E.S. EXTINCTION AGENDA EX,XBOX,66.0,7.2
A.W.: PHOENIX FESTA,PLAYSTATION,55.0,
AAAAAAAAAAAAAAAAAAAAAAAAA!!!: A RECKLESS DISREGARD FOR GRAVITY,PC,81.0,7.1
AAERO,PLAYSTATION,77.0,5.1
AAERO,XBOX,80.0,7.2
AAERO: COMPLETE EDITION,SWITCH,80.0,8.0
AARKLASH: LEGACY,PC,72.0,7.8
AARU'S AWAKENING,PC,59.0,
ABSOLUTE DRIFT,SWITCH,70.0,
ABSOLVER,PC,75.0,6.0
ABSOLVER,PLAYSTATION,69.0,5.5
ABSOLVER,XBOX,62.0,7.3
ABYSS,WII,59.0,6.5
ABYSS ODYSSEY,PC,69.0,7.4
ABYSS ODYSSEY,PLAYSTATION,70.0,6.2
ABYSS ODYSSEY,XBOX,64.0,6.5
ABYSS ODYSSEY: EXTENDED DREAM EDITION,PLAYSTATION,65.0,5.8
ABZU,PC,83.0,7.4
ABZU,PLAYSTATION,78.0,7.9
ABZU,SWITCH,80.0,7.9
AC/DC LIVE: ROCK BAND TRACK PACK,PLAYSTATION,60.0,5.3
AC/DC LIVE: ROCK BAND TRACK PACK,XBOX,63.0,5.1
ACA NEOGEO: METAL SLUG 3,SWITCH,76.0,7.7
ACA NEOGEO: SHOCK TROOPERS,SWITCH,70.0,7.0
ACADEMY OF CHAMPIONS: SOCCER,WII,64.0,6.8
ACCEL WORLD VS. SWORD ART ONLINE: MILLENNIUM TWILIGHT,PLAYSTATION,64.0,6.2
ACCELERATION OF SUGURI X-EDITION,PLAYSTATION,61.0,5.5
ACE ANGLER: FISHING SPIRITS,SWITCH,65.0,
ACE ATTORNEY INVESTIGATIONS: MILES EDGEWORTH,DS,78.0,8.2
ACE BANANA,PLAYSTATION,,
ACE COMBAT 04: SHATTERED SKIES,PLAYSTATION,89.0,8.7
ACE COMBAT 2,PLAYSTATION,83.0,8.6
ACE COMBAT 5: THE UNSUNG WAR,PLAYSTATION,84.0,8.9
ACE COMBAT 6: FIRES OF LIBERATION,XBOX,80.0,7.9
ACE COMBAT 7: SKIES UNKNOWN,PC,78.0,7.1
ACE COMBAT 7: SKIES UNKNOWN,PLAYSTATION,80.0,8.0
ACE COMBAT 7: SKIES UNKNOWN,XBOX,79.0,7.7
ACE COMBAT ADVANCE,GB,56.0,7.5
ACE COMBAT ASSAULT HORIZON: ENHANCED EDITION,PC,77.0,5.9
ACE COMBAT INFINITY,PLAYSTATION,54.0,5.7
ACE COMBAT X: SKIES OF DECEPTION,PLAYSTATION,75.0,8.3
ACE COMBAT ZERO: THE BELKAN WAR,PLAYSTATION,75.0,8.6
ACE COMBAT: ASSAULT HORIZON,PLAYSTATION,77.0,6.8
ACE COMBAT: ASSAULT HORIZON,XBOX,78.0,6.0
ACE COMBAT: ASSAULT HORIZON LEGACY,DS,71.0,7.4
ACE COMBAT: ASSAULT HORIZON LEGACY+,DS,63.0,5.9
ACE COMBAT: JOINT ASSAULT,PLAYSTATION,71.0,7.0
ACE OF SPADES: BATTLE BUILDER,PC,,5.2
ACES OF THE GALAXY,XBOX,71.0,7.3
ACES OF THE LUFTWAFFE: SQUADRON,SWITCH,71.0,6.6
ACHRON,PC,54.0,7.3
ACHTUNG! CTHULHU TACTICS,PC,56.0,6.0
ACHTUNG! CTHULHU TACTICS,XBOX,60.0,
ACORN TACTICS,SWITCH,51.0,
ACT OF AGGRESSION,PC,71.0,7.1
ACT OF WAR: DIRECT ACTION,PC,82.0,8.1
ACT OF WAR: HIGH TREASON,PC,74.0,7.5
ACTION BASS,PLAYSTATION,51.0,
ACTION HENK,PC,74.0,7.5
ACTION HENK,PLAYSTATION,73.0,5.9
ACTION HENK,XBOX,72.0,
ACTIVE LIFE: EXTREME CHALLENGE,WII,56.0,
ACTIVE SOCCER 2 DX,XBOX,53.0,6.9
ACTIVISION ANTHOLOGY,GB,79.0,
ACTIVISION ANTHOLOGY,PLAYSTATION,75.0,7.3
ACTIVISION HITS REMIXED,PLAYSTATION,75.0,5.5
ACTRAISER RENAISSANCE,PLAYSTATION,71.0,6.4
ACTRAISER RENAISSANCE,SWITCH,74.0,7.7
ACTUAL SUNLIGHT,PLAYSTATION,75.0,6.3
ADAM'S VENTURE CHRONICLES,PLAYSTATION,,
ADAM'S VENTURE: ORIGINS,PLAYSTATION,53.0,5.1
ADIOS,PC,78.0,6.4
ADR1FT,PC,64.0,5.3
ADR1FT,PLAYSTATION,56.0,5.0
ADRENALIN MISFITS,XBOX,50.0,
ADVANCE GUARDIAN HEROES,GB,65.0,
ADVANCE WARS,GB,92.0,8.8
ADVANCE WARS 2: BLACK HOLE RISING,GB,89.0,8.8
ADVANCE WARS: DAYS OF RUIN,DS,86.0,8.5
ADVANCE WARS: DUAL STRIKE,DS,90.0,8.8
ADVENT RISING,PC,70.0,8.6
ADVENT RISING,XBOX,68.0,7.5
ADVENTURE ISLAND: THE BEGINNING,WII,60.0,
ADVENTURE PINBALL: FORGOTTEN ISLAND,PC,60.0,7.3
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON'T KNOW!,PLAYSTATION,,
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON'T KNOW!,WII,,5.7
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON'T KNOW!,XBOX,,
ADVENTURE TIME: FINN AND JAKE INVESTIGATIONS,XBOX,66.0,6.0
ADVENTURE TIME: HEY ICE KING! WHY'D YOU STEAL OUR GARBAGE?!,DS,67.0,7.2
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PLAYSTATION,62.0,6.3
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,SWITCH,50.0,5.0
ADVENTURES OF MANA,PLAYSTATION,66.0,8.2
ADVENTURES OF PIP,PC,74.0,7.0
ADVENTURES OF PIP,PLAYSTATION,74.0,6.8
ADVENTURES OF PIP,WII,78.0,7.7
ADVENTURES TO GO!,PLAYSTATION,58.0,7.8
AEDIS ECLIPSE: GENERATION OF CHAOS,PLAYSTATION,62.0,6.3
AEGIS DEFENDERS,PC,76.0,5.2
AEGIS DEFENDERS,SWITCH,74.0,7.0
AEGIS OF EARTH: PROTONOVUS ASSAULT,PLAYSTATION,57.0,6.5
AEGIS WING,XBOX,58.0,7.0
AEON FLUX,PLAYSTATION,66.0,5.7
AEON FLUX,XBOX,69.0,
AER: MEMORIES OF OLD,PC,69.0,6.6
AER: MEMORIES OF OLD,PLAYSTATION,70.0,6.8
AER: MEMORIES OF OLD,SWITCH,73.0,6.6
AER: MEMORIES OF OLD,XBOX,71.0,7.3
AEREA,PLAYSTATION,,
AEREA,XBOX,50.0,
AERIAL STRIKE: THE YAGER MISSIONS,PC,62.0,
AERIAL_KNIGHT'S NEVER YIELD,SWITCH,65.0,
AERO ELITE: COMBAT ACADEMY,PLAYSTATION,64.0,7.5
AERO PORTER,DS,70.0,7.4
AERO RACER,PLAYSTATION,65.0,6.2
AERO THE ACRO-BAT,GB,71.0,7.5
AEROWINGS 2: AIR STRIKE,AUTRE,74.0,8.1
AETERNA NOCTIS,PC,72.0,8.2
AETERNA NOCTIS,PLAYSTATION,69.0,7.6
AETERNA NOCTIS,SWITCH,67.0,
AETERNOBLADE,DS,59.0,6.3
AETERNOBLADE II,SWITCH,,
AFFORDABLE SPACE ADVENTURES,WII,81.0,8.1
AFRIKA,PLAYSTATION,63.0,6.2
